"Start","End","Service","Amount","Unit"
"2025-11-01","2025-12-01","Amazon Virtual Private Cloud","1199.2938271799","USD"
"2025-11-01","2025-12-01","AmazonCloudWatch","273.1408165087","USD"
"2025-11-01","2025-12-01","CloudWatch Events","0.005317","USD"
"2025-11-01","2025-12-01","CodeBuild","6.88","USD"
"2025-11-01","2025-12-01","Tax","1877.34","USD"
"2025-12-01","2026-01-01","AWS Amplify","0.0291397569","USD"
"2025-12-01","2026-01-01","AWS CloudTrail","4.765878","USD"
"2025-12-01","2026-01-01","AWS CodeArtifact","0","USD"
"2025-12-01","2026-01-01","AWS Config","8.268","USD"
"2025-12-01","2026-01-01","AWS Data Pipeline","1.334677398","USD"
"2025-12-01","2026-01-01","AWS Global Accelerator","7.99836148","USD"
"2025-12-01","2026-01-01","AWS Glue","163.9953238","USD"
"2025-12-01","2026-01-01","AWS Key Management Service","0.501344078","USD"
"2025-12-01","2026-01-01","AWS Lambda","4.1646477777","USD"
"2025-12-01","2026-01-01","AWS Secrets Manager","2.9490597936","USD"
"2025-12-01","2026-01-01","AWS Security Hub","8.387","USD"
"2025-12-01","2026-01-01","AWS Step Functions","0.6585017285","USD"
"2025-12-01","2026-01-01","AWS Support (Business)","270.2496473183","USD"
"2025-12-01","2026-01-01","AWS X-Ray","0","USD"
"2025-12-01","2026-01-01","Amazon API Gateway","9.4752728674","USD"
"2025-12-01","2026-01-01","Amazon Athena","0.00485","USD"
"2025-12-01","2026-01-01","Amazon CloudFront","0.0000064328","USD"
"2025-12-01","2026-01-01","Amazon Cognito","59.5935","USD"
"2025-12-01","2026-01-01","Amazon DynamoDB","0","USD"
"2025-12-01","2026-01-01","Amazon EC2 Container Registry (ECR)","2.0069020741","USD"
"2025-12-01","2026-01-01","EC2 - Other","133.1527661638","USD"
"2025-12-01","2026-01-01","Amazon Elastic Compute Cloud - Compute","218.7317886916","USD"
"2025-12-01","2026-01-01","Amazon Elastic Container Service","23.1638561618","USD"
"2025-12-01","2026-01-01","Amazon Elastic Container Service for Kubernetes","7.6","USD"
"2025-12-01","2026-01-01","Amazon Elastic File System","0.039491973","USD"
"2025-12-01","2026-01-01","Amazon Elastic Load Balancing","49.4140826701","USD"
"2025-12-01","2026-01-01","Amazon GuardDuty","1.2873155409","USD"
"2025-12-01","2026-01-01","Amazon Kinesis","13.01","USD"
"2025-12-01","2026-01-01","Amazon Kinesis Firehose","0.1000609146","USD"
"2025-12-01","2026-01-01","Amazon Lightsail","2.696582883","USD"
"2025-12-01","2026-01-01","Amazon Location Service","0.00003","USD"
"2025-12-01","2026-01-01","Amazon OpenSearch Service","18.7320666667","USD"
"2025-12-01","2026-01-01","Amazon Redshift","1801.247379728","USD"
"2025-12-01","2026-01-01","Amazon Relational Database Service","584.4347640371","USD"
"2025-12-01","2026-01-01","Amazon Route 53","1.5003196","USD"
"2025-12-01","2026-01-01","Amazon SageMaker","40.4883466756","USD"
"2025-12-01","2026-01-01","Amazon Simple Notification Service","1.8483851719","USD"
"2025-12-01","2026-01-01","Amazon Simple Queue Service","6.6548547465","USD"
"2025-12-01","2026-01-01","Amazon Simple Storage Service","216.0419259847","USD"
"2025-12-01","2026-01-01","Amazon Virtual Private Cloud","129.0552699662","USD"
"2025-12-01","2026-01-01","AmazonCloudWatch","27.2519694936","USD"
"2025-12-01","2026-01-01","CloudWatch Events","0.001025","USD"
"2025-12-01","2026-01-01","CodeBuild","1.285","USD"
"2025-12-01","2026-01-01","Tax","528.57","USD"
